seed,alpha,nominal,cov_two,n_cert_two,width_two,frac_withheld_two,cov_one,n_cert_one,width_one,mean_cert_two,mean_cert_one
20260003,0.02,0.98,,0,,1.0,0.8823529411764706,17,113.61326130722105,0.0,62.8688753861151
20260004,0.3,0.7,0.8,5,52.934561560904626,0.8913043478260869,0.4878048780487805,41,52.934561560904626,25.518924167635966,101.78312349685383
20260004,0.2,0.8,,0,,1.0,0.6486486486486487,37,76.36213656169573,0.0,87.69636072072112
20260004,0.1,0.9,,0,,1.0,0.6666666666666666,33,89.74919606235346,0.0,84.16576551552137
20260004,0.05,0.95,,0,,1.0,1.0,22,141.01576684875192,0.0,60.647746734751124
20260004,0.02,0.98,,0,,1.0,1.0,20,151.6780265242541,0.0,55.602877804166425
20260005,0.3,0.7,0.42857142857142855,21,28.32010301258542,0.5434782608695652,0.4473684210526316,38,28.29121770458236,100.92984096587749,103.10645683918949
20260005,0.2,0.8,0.5,10,50.82909946900503,0.782608695652174,0.5277777777777778,36,50.82909946900504,70.4538190706488,85.88220699481053
20260005,0.1,0.9,,0,,1.0,0.875,24,86.09132230933194,0.0,85.76554223060681
20260005,0.05,0.95,,0,,1.0,0.9411764705882353,17,121.30558203612445,0.0,78.66683802741794
20260005,0.02,0.98,,0,,1.0,0.9285714285714286,14,136.20577572225082,0.0,79.09398413512555
20260006,0.3,0.7,0.875,8,76.86027316205576,0.8260869565217391,0.5517241379310345,29,65.75804364637338,125.15403819402525,89.05529272099295
20260006,0.2,0.8,0.8333333333333334,6,84.68822346917851,0.8695652173913043,0.7142857142857143,28,84.6882234691785,118.76398104589231,73.15108873344955
20260006,0.1,0.9,1.0,3,112.22043673303142,0.9347826086956522,0.782608695652174,23,103.32479646376896,99.42707094350045,67.74421651386078
20260006,0.05,0.95,1.0,1,112.22043673303142,0.9782608695652174,0.7777777777777778,18,112.22043673303142,68.61539972725103,76.47037545725787
20260006,0.02,0.98,,0,,1.0,1.0,6,193.42870051117703,0.0,50.461315102361596
20260007,0.3,0.7,0.5625,16,67.54343857784278,0.6521739130434783,0.4411764705882353,34,48.18226771840568,50.02543245798926,75.77161133469835
20260007,0.2,0.8,0.6666666666666666,6,77.87810788755893,0.8695652173913043,0.5357142857142857,28,68.91340879928556,65.59013132276861,68.80092697019656
20260007,0.1,0.9,1.0,2,85.41313251970595,0.9565217391304348,0.7647058823529411,17,85.65907412274971,66.19192206421853,91.2913689106531
20260007,0.05,0.95,,0,,1.0,0.8125,16,114.50021998176874,0.0,66.5657796701025
20260007,0.02,0.98,,0,,1.0,0.8181818181818182,11,142.50947309304507,0.0,62.981518328534165
20260008,0.3,0.7,1.0,2,58.981547360765745,0.9555555555555556,0.6428571428571429,28,65.54498509406532,84.7234496184549,92.80846360077336
20260008,0.2,0.8,,0,,1.0,0.6923076923076923,26,74.93357163538613,0.0,89.98313938377713
20260008,0.1,0.9,,0,,1.0,0.7894736842105263,19,102.11321252607509,0.0,91.16890054250617
20260008,0.05,0.95,,0,,1.0,0.8125,16,109.10208344691583,0.0,100.55671735045357
20260008,0.02,0.98,,0,,1.0,1.0,16,130.721732377124,0.0,78.9370684202454
20260009,0.3,0.7,0.6363636363636364,11,51.76097662961086,0.7608695652173914,0.4473684210526316,38,37.33457979204834,92.17027701806028,103.6993756115716
20260009,0.2,0.8,0.5714285714285714,7,65.73913568815784,0.8478260869565217,0.4666666666666667,30,55.98599612629905,86.49231354112115,110.02649885583328
20260009,0.1,0.9,1.0,2,74.3845300627452,0.9565217391304348,0.5,26,73.78682864075547,107.97428068681724,108.07471058364675
20260009,0.05,0.95,,0,,1.0,0.5,26,78.5222282681793,0.0,103.33931095622293
20260009,0.02,0.98,,0,,1.0,0.5714285714285714,21,111.50778203421619,0.0,90.29885177784433
20260010,0.3,0.7,0.75,4,56.97246246830876,0.9111111111111111,0.5,32,56.97246246830876,184.7894774625909,84.42413175758918
20260010,0.2,0.8,,0,,1.0,0.6,25,76.16326439776307,0.0,86.24495265527393
20260010,0.1,0.9,,0,,1.0,0.7391304347826086,23,87.87785225965277,0.0,81.34896206277837
20260010,0.05,0.95,,0,,1.0,0.8181818181818182,22,97.48453753712093,0.0,75.42029598447931
20260010,0.02,0.98,,0,,1.0,0.8636363636363636,22,98.28689884088772,0.0,74.61793468071251
20260011,0.3,0.7,0.5714285714285714,14,29.452940958965588,0.6888888888888889,0.6,40,41.414701380242796,50.788761388167295,87.01795491591454
20260011,0.2,0.8,0.75,4,59.6625428039722,0.9111111111111111,0.7931034482758621,29,79.58062664865004,43.6072248861892,74.14418120175982
20260011,0.1,0.9,,0,,1.0,0.8,15,125.82048496747873,0.0,72.79125460765823
20260011,0.05,0.95,,0,,1.0,0.9,10,142.8127078661888,0.0,89.8146622933725
20260011,0.02,0.98,,0,,1.0,0.9,10,145.467100851182,0.0,87.16026930837931
20260012,0.3,0.7,0.4,5,59.00344724895708,0.8888888888888888,0.46875,32,53.44865592436918,57.61684675360059,79.71035783710313
20260012,0.2,0.8,,0,,1.0,0.7,30,67.47357678407909,0.0,70.66080675429876
20260012,0.1,0.9,,0,,1.0,0.8695652173913043,23,85.93201589964839,0.0,71.00994200440411
20260012,0.05,0.95,,0,,1.0,0.9473684210526315,19,98.07648302846137,0.0,72.25871858405885
20260012,0.02,0.98,,0,,1.0,1.0,13,113.45987848402076,0.0,87.76725771462965
20260013,0.3,0.7,0.625,8,54.250258891444716,0.8260869565217391,0.4166666666666667,36,51.4978548338626,81.39600352712297,91.14195905156538
20260013,0.2,0.8,1.0,4,97.58282481946415,0.9130434782608696,0.45454545454545453,33,58.333626421468914,57.69291178533646,92.24617384966032
20260013,0.1,0.9,1.0,2,110.10809655993933,0.9565217391304348,0.8518518518518519,27,97.58282481946418,63.71496450404264,69.69724353761296
20260013,0.05,0.95,,0,,1.0,0.8695652173913043,23,110.10809655993936,0.0,68.08783508400164
20260013,0.02,0.98,,0,,1.0,1.0,18,154.36297397549072,0.0,37.862338458075186
20260014,0.3,0.7,0.5652173913043478,23,52.66918283553385,0.48888888888888893,0.375,40,37.13651883144016,83.24187666393412,93.9962476247575
20260014,0.2,0.8,0.6666666666666666,12,67.6985259440341,0.7333333333333334,0.4722222222222222,36,52.66918283553385,70.55466040115626,87.6723448949382
20260014,0.1,0.9,1.0,2,94.40418718959992,0.9555555555555556,0.78125,32,71.69599482180246,10.811879759942364,78.87655245642227
20260014,0.05,0.95,,0,,1.0,0.9545454545454546,22,94.40418718959994,0.0,87.75718154580812
20260014,0.02,0.98,,0,,1.0,0.9545454545454546,22,97.65155066580036,0.0,84.50981806960769
20260015,0.3,0.7,0.5,2,70.34360723382059,0.9565217391304348,0.6206896551724138,29,61.77548176321855,100.6867386960474,110.50330281177376
20260015,0.2,0.8,,0,,1.0,0.6296296296296297,27,87.32467472949939,0.0,92.25492763544165
20260015,0.1,0.9,,0,,1.0,0.88,25,104.99050511338991,0.0,81.25833674432198
20260015,0.05,0.95,,0,,1.0,0.88,25,110.86010630691834,0.0,75.38873555079354
20260015,0.02,0.98,,0,,1.0,0.8571428571428571,21,128.10722766030224,0.0,70.87780610225892
20260016,0.3,0.7,0.5,4,71.07392552208648,0.9130434782608696,0.5,34,61.718159218942354,149.3578261526539,110.97903512296334
20260016,0.2,0.8,0.0,1,73.45332988681693,0.9782608695652174,0.53125,32,73.45332988681693,9.391932917392324,105.84572201354104
20260016,0.1,0.9,,0,,1.0,0.7857142857142857,28,94.19707137026028,0.0,98.53561909734626
20260016,0.05,0.95,,0,,1.0,0.7777777777777778,27,97.96527107749863,0.0,98.30543196866451
20260016,0.02,0.98,,0,,1.0,1.0,17,152.02612777468386,0.0,87.38414627661832
20260017,0.3,0.7,0.3333333333333333,6,46.03870787093979,0.8695652173913043,0.3902439024390244,41,39.94043548464654,65.03685638291786,99.8986601440573
20260017,0.2,0.8,,0,,1.0,0.47368421052631576,38,63.87733513458773,0.0,82.89380626739708
20260017,0.1,0.9,,0,,1.0,0.7407407407407407,27,101.27312522363033,0.0,71.45782961766216
20260017,0.05,0.95,,0,,1.0,1.0,21,121.23568136650871,0.0,68.4586750530683
20260017,0.02,0.98,,0,,1.0,1.0,18,139.82196278479444,0.0,60.76670391493516
20260018,0.3,0.7,0.4,5,61.49668648646103,0.8888888888888888,0.6176470588235294,34,61.49668648646102,70.53888998690881,77.16017311313156
20260018,0.2,0.8,,0,,1.0,0.71875,32,72.17187360309948,0.0,71.04910446944706
20260018,0.1,0.9,,0,,1.0,0.9130434782608695,23,107.2337684864244,0.0,56.116772974186404
20260018,0.05,0.95,,0,,1.0,0.9523809523809523,21,114.7305532717487,0.0,53.47226600244943
20260018,0.02,0.98,,0,,1.0,0.9333333333333333,15,135.8099287052717,0.0,48.915984527286824
20260019,0.3,0.7,0.75,8,50.037397043886926,0.8260869565217391,0.6578947368421053,38,42.5159008310257,101.21216308397332,113.90964369898617
20260019,0.2,0.8,1.0,5,65.94609520842454,0.8913043478260869,0.6486486486486487,37,56.93632294726203,65.6377869964672,102.22688028397354
20260019,0.1,0.9,,0,,1.0,0.7419354838709677,31,76.8264716281721,0.0,100.61916720269497
20260019,0.05,0.95,,0,,1.0,0.8148148148148148,27,94.01896129069898,0.0,96.52527745093023
20260019,0.02,0.98,,0,,1.0,0.8518518518518519,27,101.62125368975315,0.0,88.9229850518761
20260020,0.3,0.7,0.6,20,23.107284550742946,0.5652173913043479,0.5348837209302325,43,23.10728455074295,96.77026186804575,118.10598017709825
