controller,CO2_t_per_yr,cost_per_yr,RE_selfcons_pct,peak_kW,comfort_viol_h,EV_shortfall_kWh,bat_cycles,deg_cost_yr,n_requests,n_committed,abstain_rate_pct,delivery_ratio,coverage,false_activation_pct,missed_opp_pct,net_service_benefit,requested_MWh,accepted_MWh,delivered_MWh,acceptance_rate_pct,abstention_rate_pct,cond_delivery_rate_pct,uncond_service_rate_pct,delivered_frac_of_requested,delivered_frac_of_accepted,shortfall_MWh,overdelivery_MWh,service_revenue_yr,service_penalty_yr,seed,variant
B5,278.5782585178658,123261.62576920282,97.61075008728352,533.6899445229392,34.76190476190476,10290.937522566375,572.2914321196289,32693.276065423226,92,92,0.0,2.037363005460735,0.8043478260869565,19.565217391304348,0.0,3447.44020870663,6.285530988524038,6.285530988524038,5.972556842368096,100.0,0.0,80.43478260869566,80.43478260869566,0.9502072065626018,0.9502072065626018,0.3129741461559421,6.421194780715267,4671.392673137903,1223.9524644312735,20260000,carbon_x2
P,279.3477547579305,121674.8887567224,97.55801608857595,533.6899445229392,8.69047619047619,6647.8829833267555,581.9345107241357,32354.708562104548,92,68,26.086956521739136,2.318355263778813,0.8529411764705882,14.705882352941178,21.73913043478261,2964.737126162266,6.285530988524038,4.804873246723941,5.568030819285587,73.91304347826086,26.086956521739136,85.29411764705883,71.73913043478261,0.8858489170527606,0.9648155213420989,0.16905696020327904,6.208615938524564,3625.8705955286605,661.1334693663948,20260000,carbon_x2
B5,290.1292647830166,130910.1991885352,97.9340043017101,546.0108245242645,52.14285714285714,11495.275684858563,601.6431256949251,33854.674535679114,91,91,0.0,1.4329674153105465,0.6153846153846154,38.46153846153847,0.0,1501.228640753223,6.4147805690377915,6.4147805690377915,5.665546988209502,100.0,0.0,61.53846153846154,61.53846153846154,0.8832019937759658,0.8832019937759658,0.7492335808282907,3.337710254752404,4431.267108635288,2930.0384678820656,20260001,carbon_x2
P,289.45440854359174,129811.61340230469,97.86078642152364,546.0108245242645,34.76190476190476,9800.751899622544,610.0065169784441,34418.52179047243,91,53,41.75824175824175,1.498955824264968,0.5849056603773585,41.509433962264154,31.868131868131865,1298.436878275198,6.4147805690377915,4.298447263188477,5.417154677892231,58.24175824175825,41.75824175824175,58.490566037735846,62.637362637362635,0.8444801220542446,0.8977016134424364,0.43972421972695647,2.303565042322707,3018.072666135974,1719.635787860776,20260001,carbon_x2
B5,285.168133950913,125569.26904503306,97.74273948890018,535.5316974743938,156.42857142857142,17437.837718690433,581.0538536873395,33702.50759222376,92,92,0.0,1.4837414358845082,0.6847826086956522,31.521739130434785,0.0,1950.007454258654,7.602791429918203,7.602791429918203,6.751186227513588,100.0,0.0,68.47826086956522,68.47826086956522,0.8879878252277957,0.8879878252277957,0.8516052024046142,4.24212833795098,5280.392085090984,3330.3846308323305,20260002,carbon_x2
P,286.22512327409055,124803.73287126332,97.65215587871205,535.5316974743938,52.14285714285714,9920.7104182188,601.0194681880663,34427.31002522234,92,62,32.608695652173914,1.856463955067619,0.7741935483870968,22.58064516129032,22.82608695652174,1637.0139070757443,7.602791429918203,4.788233041367468,6.439754247852294,67.3913043478261,32.608695652173914,77.41935483870968,67.3913043478261,0.8470249785507502,0.9061850442944768,0.44920787068361245,4.373448768281763,3393.737544213443,1756.7236371376987,20260002,carbon_x2
B5,295.4226137007847,129515.27237358833,97.2956602171939,534.1543173491945,104.28571428571428,23804.52065800998,602.4943350160268,34228.472079629544,92,92,0.0,1.5670154353822796,0.717391304347826,28.26086956521739,0.0,2509.5923297814707,7.265414529937883,7.265414529937883,6.589280641263921,100.0,0.0,71.73913043478261,71.73913043478261,0.9069380162841525,0.9069380162841525,0.6761338886739605,4.525101190019723,5153.758787274281,2644.16645749281,20260003,carbon_x2
P,297.5593262746309,127637.48730751468,97.19681587777572,560.2372221495385,52.14285714285714,14679.99632103247,605.1133757961991,35012.08788534895,92,55,40.21739130434783,1.708235696210341,0.7090909090909091,29.09090909090909,25.0,2070.676979956765,7.265414529937883,4.549375262427761,5.831583398155018,59.78260869565217,40.21739130434783,70.9090909090909,63.04347826086957,0.8026497833159254,0.9303225071172795,0.316989062468634,3.365693739658946,3310.33063496803,1239.6536550112653,20260003,carbon_x2
B5,290.46689599595123,126191.11183355618,96.57290722665238,548.2493021469793,26.07142857142857,19106.40849705915,612.5069222067408,32033.19323028958,92,92,0.0,1.6053538469622672,0.6956521739130435,30.434782608695656,0.0,3590.122065490367,8.079759425163148,8.079759425163148,7.498151254863736,100.0,0.0,69.56521739130434,69.56521739130434,0.9280166475640248,0.9280166475640248,0.5816081702994114,5.855924984189342,5864.625445768422,2274.503380278055,20260004,carbon_x2
P,289.5887421296969,124978.1720031243,96.38605795888408,548.2493021469794,26.07142857142857,17091.70953850263,617.388065062113,32585.693676634615,92,66,28.260869565217394,1.790546300373536,0.7575757575757576,24.242424242424242,22.82608695652174,3270.580632480323,8.079759425163148,6.220937228159041,7.0483440226713405,71.73913043478261,28.260869565217394,75.75757575757575,64.13043478260869,0.872345778108241,0.9453626553258042,0.3398954915314608,5.6143456849040705,4599.8147868622855,1329.2341543819628,20260004,carbon_x2
B5,279.35457936947785,116937.81964228221,98.08277186812934,517.6491536863823,34.76190476190476,9636.78410754053,471.88373785131336,28306.66853393266,92,92,0.0,1.9322183572399712,0.782608695652174,21.73913043478261,0.0,3399.824572939535,6.285530988524038,6.285530988524038,5.96241043596415,100.0,0.0,78.26086956521739,78.26086956521739,0.9485929584708384,0.9485929584708384,0.32312055255988964,5.9845535223112325,4663.456733843389,1263.632160903854,20260000,comfort_x0.5
P,279.46860420173124,114761.84934063366,98.00167833848151,517.6491389815111,8.69047619047619,6569.2261740564345,483.23740053193853,28121.29727725854,92,65,29.34782608695652,2.274257266835709,0.8615384615384616,13.846153846153847,23.91304347826087,3044.0722498290593,6.285530988524038,4.672881816720253,5.519893306252639,70.65217391304348,29.34782608695652,86.15384615384616,69.56521739130434,0.8781904530151421,0.9721471914256199,0.13015288273181036,5.90021439262058,3553.062987655246,508.99073782618694,20260000,comfort_x0.5
B5,290.0258211476276,124689.75417956979,98.5933079908874,562.2597849159472,60.83333333333333,11146.71401369988,498.0773203721876,29269.298385379472,91,91,0.0,1.4689950217899346,0.5934065934065934,40.65934065934066,0.0,1192.9841750898522,6.4147805690377915,6.4147805690377915,5.5998632360133485,100.0,0.0,59.34065934065934,59.34065934065934,0.872962555109398,0.872962555109398,0.8149173330244427,3.5837340643507307,4379.893031024726,3186.908855934874,20260001,comfort_x0.5
P,289.45068148150773,123620.85913748696,98.53749287950646,562.2597849159472,52.14285714285714,9701.98134794333,508.61343631374336,29746.83005547481,91,60,34.065934065934066,1.6752905627738806,0.6666666666666666,33.33333333333333,27.472527472527474,1607.652563783849,6.4147805690377915,4.64659109313014,5.435801665683074,65.93406593406593,34.065934065934066,66.66666666666666,59.34065934065934,0.8473870005655448,0.9070592885219485,0.4318574821430918,3.381645323334545,3296.52378859344,1688.871224809591,20260001,comfort_x0.5
B5,286.3961699415554,118623.38026075522,98.36846752844312,535.531681513331,165.1190476190476,15967.145786514078,474.13423379307727,28290.168789990923,92,92,0.0,1.4809879014410288,0.6956521739130435,30.434782608695656,0.0,2002.6592832852969,7.602791429918203,7.602791429918203,6.762405795342705,100.0,0.0,69.56521739130434,69.56521739130434,0.8894635421315852,0.8894635421315852,0.8403856345754969,4.266898621543238,5289.167389928757,3286.5081066434605,20260002,comfort_x0.5
P,287.59246895414583,118051.18380162283,98.38301458938723,535.531681513331,43.45238095238095,8632.109221437575,491.4723279884699,28881.022268307337,92,67,27.173913043478258,1.7539597176524513,0.7761194029850746,22.388059701492537,19.565217391304348,2031.7925014443538,7.602791429918203,5.308646959602893,6.542364015571477,72.82608695652173,27.173913043478258,77.61194029850746,67.3913043478261,0.8605213066645792,0.9148897572956846,0.451820231163329,4.368825171656457,3798.732334029515,1766.9398325851612,20260002,comfort_x0.5
B5,295.176557286799,122031.05686472032,97.69732653400177,554.2918764948295,104.28571428571428,24509.03643446721,482.0909092856005,28987.78843937529,92,92,0.0,1.5626578396463409,0.7065217391304348,29.347826086956523,0.0,2253.824498045893,7.265414529937883,7.265414529937883,6.5347791246079385,100.0,0.0,70.65217391304348,70.65217391304348,0.8994365149683771,0.8994365149683771,0.7306354053299438,4.4647610722969615,5111.130815318352,2857.3063172724583,20260003,comfort_x0.5
P,298.0312153377136,120801.34523643939,97.60557888994529,569.670704012504,52.14285714285714,15032.825077756374,493.3995524227455,29719.684405912012,92,62,32.608695652173914,1.828606466389812,0.7580645161290323,24.193548387096776,23.91304347826087,2474.639164546112,7.265414529937883,4.9982683267932995,5.864925951076881,67.3913043478261,32.608695652173914,75.80645161290323,61.95652173913043,0.8072389988086508,0.9388339458338251,0.3057243512137147,4.4458693359628985,3670.2397523283175,1195.6005877822056,20260003,comfort_x0.5
B5,290.6987554477655,119551.74300929892,97.1772803289387,534.4614220189967,26.07142857142857,18082.785033354226,479.81262711273575,26821.299024748976,92,92,0.0,1.614254020189878,0.7065217391304348,29.347826086956523,0.0,3521.416925941178,8.079759425163148,8.079759425163148,7.483510890271824,100.0,0.0,70.65217391304348,70.65217391304348,0.9262046673030386,0.9262046673030386,0.5962485348913239,5.778164185576698,5853.174589176891,2331.7576632357127,20260004,comfort_x0.5
P,289.6440139085247,118004.49078324538,97.00412743002698,534.4614220189967,26.07142857142857,16134.201198059121,487.0592801729283,27301.852593251675,92,67,27.173913043478258,1.8581747324487747,0.746268656716418,25.37313432835821,22.82608695652174,3212.433407673796,8.079759425163148,6.184718209474347,6.979678107551091,72.82608695652173,27.173913043478258,74.6268656716418,61.95652173913043,0.8638472682508312,0.9440153039607513,0.34624956904582893,5.747107104836427,4566.516543763734,1354.0831360899383,20260004,comfort_x0.5
B5,279.3274801364548,116933.79039404169,98.08252900474155,517.6491419260366,34.76190476190476,9644.988916658536,471.9038215767856,28303.598223073015,92,92,0.0,1.9329080912105323,0.782608695652174,21.73913043478261,0.0,3401.071273237332,6.285530988524038,6.285530988524038,5.962676095083924,100.0,0.0,78.26086956521739,78.26086956521739,0.9486352236542029,0.9486352236542029,0.32285489344011536,5.988574614025031,4663.664517226355,1262.5932439890225,20260000,comfort_x2
P,279.50303567200507,114788.42533391267,98.00477099830609,517.6491264035194,8.69047619047619,6586.236515661646,483.2825197459895,28121.791471453103,92,65,29.34782608695652,2.276012682578041,0.8615384615384616,13.846153846153847,23.91304347826087,3043.7853165492297,6.285530988524038,4.672354235591874,5.520090287875752,70.65217391304348,29.34782608695652,86.15384615384616,69.56521739130434,0.8782217919145084,0.9721497796317906,0.13012609509957074,5.90473679333026,3552.6712955993366,508.8859790501069,20260000,comfort_x2
B5,289.9301177647368,124699.08024941024,98.59333920246168,538.9056352229637,34.76190476190476,11501.833847890943,498.1283740346696,29328.06792984011,91,91,0.0,1.4692764372734026,0.6043956043956044,39.56043956043956,0.0,1211.6754758748282,6.4147805690377915,6.4147805690377915,5.603846161599189,100.0,0.0,60.43956043956044,60.43956043956044,0.8735834532902438,0.8735834532902438,0.8109344074386031,3.5823923625819583,4383.008247822222,3171.332771947394,20260001,comfort_x2
