controller,metric,mean,ci_lo,ci_hi,n
B4,service_revenue_yr,5763.85159184397,5638.009951691662,5901.877097376394,30
B4,service_penalty_yr,1175.785883179077,1039.190529628316,1306.9913616777158,30
B5,CO2_t_per_yr,344.87084928526957,342.63888026180337,347.4514471066564,30
B5,cost_per_yr,134092.75931672266,133237.79412648338,134812.75843000563,30
B5,peak_kW,581.0746122095231,573.4534614723959,590.659499853822,30
B5,comfort_viol_h,189.452380952381,173.09247597361545,210.3095238095238,30
B5,EV_shortfall_kWh,12558.331921911633,10771.916615427046,14663.6687998385,30
B5,bat_cycles,493.8376409715721,488.90111474687353,499.05203427525413,30
B5,acceptance_rate_pct,100.0,100.0,100.0,30
B5,abstention_rate_pct,0.0,0.0,0.0,30
B5,cond_delivery_rate_pct,77.83276548127553,76.72871913816937,79.05824075188528,30
B5,uncond_service_rate_pct,77.83276548127553,76.71953707610433,79.03907539141187,30
B5,delivered_frac_of_requested,0.9433753517894866,0.939957643753887,0.9467119875160948,30
B5,delivered_frac_of_accepted,0.9433753517894866,0.9400325863867965,0.9466476016862609,30
B5,shortfall_MWh,0.4354797222344295,0.4065154683200682,0.46454645435269626,30
B5,overdelivery_MWh,5.6765782215352765,5.398665888883197,5.995645653686848,30
B5,false_activation_pct,22.16723451872451,20.94196344699438,23.27601139449503,30
B5,net_service_benefit,3955.3646434224984,3822.1834215218278,4075.3295619766427,30
B5,requested_MWh,7.669965548741278,7.502671259128401,7.834406755126735,30
B5,accepted_MWh,7.669965548741278,7.499075431370542,7.842022092053716,30
B5,delivered_MWh,7.23448582650685,7.088842264978157,7.401057526523329,30
B5,service_revenue_yr,5658.401414303572,5538.346400717249,5786.397674825391,30
B5,service_penalty_yr,1703.0367708810722,1588.9472701618542,1818.1957978725804,30
B6,CO2_t_per_yr,351.55572697658994,349.20466483351515,354.1714673705312,30
B6,cost_per_yr,136046.94858465623,135192.29238183866,136831.25781347108,30
B6,peak_kW,535.169820656221,527.8850304140145,545.7799420294427,30
B6,comfort_viol_h,253.18253968253967,235.51190476190473,274.90873015873007,30
B6,EV_shortfall_kWh,23662.353629171517,21522.29843862822,26098.029374966158,30
B6,bat_cycles,540.2989784777313,534.8335767875776,546.2903109402881,30
B6,acceptance_rate_pct,100.0,100.0,100.0,30
B6,abstention_rate_pct,0.0,0.0,0.0,30
B6,cond_delivery_rate_pct,90.94771396798753,90.0605481833397,91.90502071845621,30
B6,uncond_service_rate_pct,90.94771396798753,90.06814198830902,91.87633354733681,30
B6,delivered_frac_of_requested,0.9661766314193992,0.9613733070168538,0.9705340935443223,30
B6,delivered_frac_of_accepted,0.9661766314193992,0.9613241357039198,0.9706404748057917,30
B6,shortfall_MWh,0.26057221899869115,0.22584072070686917,0.2997876302501585,30
B6,overdelivery_MWh,7.165185984313017,6.928524022737822,7.411122643803225,30
B6,false_activation_pct,9.052286032012463,8.125767085742257,9.89488868792893,30
B6,net_service_benefit,4776.180569321643,4592.173667046827,4948.259939638731,30
B6,requested_MWh,7.669965548741278,7.504663181407261,7.83963540175316,30
B6,accepted_MWh,7.669965548741278,7.512300526831164,7.8442331269383265,30
B6,delivered_MWh,7.409393329742588,7.2554638060862775,7.577283233879033,30
B6,service_revenue_yr,5795.204068620094,5678.1187870079175,5927.940318130727,30
B6,service_penalty_yr,1019.0234992984527,887.0496966325342,1176.9518555245904,30
P,CO2_t_per_yr,344.9617618417676,342.44474879973114,347.7208820914633,30
P,cost_per_yr,133122.13145679314,132182.36231401569,133831.54019153336,30
P,peak_kW,581.3843867645363,573.9945067615623,590.6163777491506,30
P,comfort_viol_h,84.87698412698413,74.73809523809524,93.27777777777777,30
P,EV_shortfall_kWh,9886.227477911138,8639.071953356153,11261.656079214641,30
P,bat_cycles,496.29787863487064,491.08914904800486,500.49203496506277,30
P,acceptance_rate_pct,72.86558945767543,70.61038888171139,75.0366722396042,30
P,abstention_rate_pct,27.134410542324567,25.01705317753854,29.38085026210131,30
P,cond_delivery_rate_pct,83.89458727662732,82.69504258737086,85.30040309251507,30
P,uncond_service_rate_pct,70.08602054009967,68.42085799053538,71.72757718164465,30
P,delivered_frac_of_requested,0.8866912672892807,0.8801154213267233,0.8937288273137632,30
P,delivered_frac_of_accepted,0.9623800744811487,0.958002382058088,0.96633770280968,30
P,shortfall_MWh,0.21872911838011783,0.19417423220766955,0.25020632799786374,30
P,overdelivery_MWh,5.567189369057735,5.247916407482022,5.904277263645927,30
P,false_activation_pct,16.10541272337267,14.599261869235749,17.363410911628062,30
P,net_service_benefit,3499.03873755551,3339.753511281935,3669.5835970700386,30
P,requested_MWh,7.669965548741278,7.505365801664729,7.844190075423375,30
P,accepted_MWh,5.786031543685016,5.582463998638512,6.05013467536367,30
P,delivered_MWh,6.802625275368092,6.6459843592241175,6.974618210750592,30
P,service_revenue_yr,4354.425825506329,4206.294781681687,4550.296707044402,30
P,service_penalty_yr,855.3870879508179,758.4791643629299,977.0826302533156,30
